ID;Lat;Long;Name
1;52.24131;20.93087; Castorama ul. Górczewska 124 01-460 Warszawa
2;52.17226;20.93926; Castorama ul. Al. Krakowska 75 02-183 Warszawa
3;52.20193;20.9333; Castorama ul. Popularna 71 02-473 Warszawa
4;52.30321;21.0548499; Castorama ul. Głębocka 15A 03-287 Warszawa
5;52.23717;21.11879; Castorama ul. Grochowska 21 04-186 Warszawa
6;52.18643;21.67592; Castorama ul. Warszawska 63B 05-300 Stojadła
7;53.147784;23.075988; Castorama ul. Narodowych Sił Zbrojnych 13 15-960 Białystok
8;53.81348;22.3794; Castorama ul. Ciepła 2 19-300 Ełk
9;51.24733;22.61386; Castorama ul. Mełgiewska 16 c 20-234 Lublin
10;50.71709;23.23675; Castorama ul. Dzieci Zamojszczyzny 4 22-400 Zamość
11;50.84483;20.63093; Castorama ul. Wrzosowa 42 25-211 Kielce
12;51.11803;20.85044; Castorama AL. Józefa Piłsudzkiego 2 26-110 Skarżysko-Kamienna
13;51.430074;21.184437; Castorama ul. Energetyków 1 26-615 Radom
14;50.94095;21.37053; Castorama ul. Stefana Żeromskiego 13 27-400 Ostrowiec Świętokrzyski
15;50.0140031;19.9315516; Castorama ul. Zakopiańska 62 30-418 Kraków
16;50.0275899;19.95943; Castorama ul. Walerego Sławka 1 30-633 Kraków
17;50.09013;19.90236; Castorama ul. Sosnowiecka 147 31-345 Kraków
18;50.08057;19.97228; Castorama ul. Pilotów 6 31-462 Kraków
19;50.02412;19.23091; Castorama ul. Zatorska 1 32-600 Oświęcim
20;50.0315152;20.9999204; Castorama ul. Nowodąbrowska 127 33-100 Tarnów
21;49.46475;20.02329; Castorama ul. Szaflarska 176 34-400 Nowy Targ
22;50.01894;22.01551; Castorama Al. Rejtana 67 35-326 Rzeszów
23;49.783829;22.806665; Castorama ul. Lwowska 17 37-700 Przemyśl
24;50.26816;19.05969; Castorama ul. Roździeńskiego 198 40-315 Katowice
25;50.31095;19.18243; Castorama ul. Długosza 82 41-219 Sosnowiec
26;50.2786199;18.95702; Castorama ul. Sportowa 31 41-500 Chorzów
27;50.35677;18.86793; Castorama ul. Al. Jana Nowaka-Jeziorańskiego 27 41-923 Bytom
28;50.81688;19.10114; Castorama ul. Jana Pawła II 2 42-200 Częstochowa
29;50.43659;18.84178; Castorama ul. Obwodnica 16 42-600 Tarnowskie Góry
30;49.84804;19.0359; Castorama ul. Warszawska 186 43-300 Bielsko-Biała
31;49.765194;18.624213; Castorama ul. Graniczna 80 43-400 Cieszyn
32;50.2670064;18.7186163; Castorama ul. Pszczyńska 315 44-100 Gliwice
33;50.11344;18.5398; Castorama ul. Obwiednia Północna 21 44-200 Rybnik
34;50.03524;18.69078; Castorama Al. Zjednoczonej Europy 26 44-240 Żory
35;50.67532;17.9617; Castorama ul. Wiejska 141a 45-302 Opole
36;50.32855;18.16205; Castorama ul. Armii Krajowej 40 47-200 Kędzierzyn-Koźle
37;50.09144;18.26108; Castorama ul. Rybnicka 95 47-400 Racibórz
38;50.44987;17.3412; Castorama ul. Zygmunta Krasińskiego 31 48-303 Nysa
39;51.14152;17.0849699; Castorama ul. Bolesława Krzywoustego 126a 51-421 Wrocław
40;51.1209072;16.9940115; Castorama ul. Legnicka 58 54-204 Wrocław
41;51.106;16.9467399; Castorama ul. Graniczna 2a 54-610 Wrocław
42;51.0612;16.97587; Castorama ul. Czekoladowa 3 55-040 Wrocław
43;50.82081;16.28754; Castorama ul. H. Wieniawskiego 21 58-306 Wałbrzych
44;50.91071;15.73799; Castorama ul. Al. Jana Pawła II 11 58-506 Jelenia Góra
45;51.1868;16.17263; Castorama ul. Roberta Schumana 9 59-220 Legnica
46;51.38994;16.2182; Castorama ul. Komisji Edukacji Narodowej 1 59-300 Lubin
47;51.15317;15.03266; Castorama ul. Jeleniogórska 77 59-900 Zgorzelec
48;52.38092;16.89558; Castorama ul. Górecka 30A 60-201 Poznań
49;52.43375;16.93596; Castorama ul. Murawa 39 61-655 Poznań
50;52.40565;17.06816; Castorama ul. Sienkiewicza 23 62-020 Swarzędz
51;52.56224;17.61073; Castorama ul. Pałucka 1 62-200 Gniezno
52;52.1855;18.22346; Castorama ul. Ogrodowa 31 62-571 Stare Miasto k/Konina
53;51.73668;18.04581; Castorama ul. Tylna 17-23 62-800 Kalisz
54;51.94084;15.49488; Castorama ul. Wojska Polskiego 19 65-077 Zielona Góra
55;52.75953;15.24428; Castorama ul. Czartoryskiego 1 66-400 Gorzów Wielkopolski
56;51.64613;16.0926699; Castorama ul. Poniatowskiego 10 67-200 Głogów
57;53.38593;14.65971; Castorama ul. Wiosenna 80 70-807 Szczecin
58;53.4010898;14.5029139; Castorama ul. Południowa 21 71-001 Szczecin
59;53.428256;14.485701; Castorama ul. Ku Słońcu 67b 71-047 Szczecin
60;53.33397;15.0273; Castorama ul. Tadeusza Kościuszki 73A 73-110 Stargard Szczeciński
61;54.17574;16.2026499; Castorama ul. Paderewskiego 2 75-736 Koszalin
62;54.45948;17.05891; Castorama ul. Hubalczyków 2 76-200 Słupsk
63;54.432107;18.485969; Castorama ul. Odyseusza 2 80-299 Gdańsk
64;54.3957;18.57817; Castorama ul. Grunwaldzka 262 80-314 Gdańsk
65;54.57141;18.38398; Castorama ul. Grunwaldzka 5 84-230 Rumia
66;53.11984;17.98379; Castorama ul. Szubińska 5 85-312 Bydgoszcz
67;53.01723;18.53357; Castorama ul. Szosa Bydgoska 102 A 87-100 Toruń
68;51.8172022;19.4357694; Castorama ul. Sikorskiego 2/6 91-497 Łódź
69;51.76521;19.49148; Castorama ul. Wydawnicza 13 92-333 Łódź
70;51.74504;19.44005; Castorama ul. Wróblewskiego 31 93-566 Łódź
71;51.97368;20.14538; Castorama ul. Wyszyńskiego 10 96-100 Skierniewice